 Ozone_ Contn, NO2_Contn,Temp_ Avg ,SO2 _Contn, PM2.5_Contn,deathIncrease
0.05,19.2,50,19.2,14.4,24.0
0.053,20,74,20,30,54.0
0.046,20,35,20,23,39.0
0.01,24,41,24,17.1,27.0
0.02,25.6,46,25.6,15,29.0
0.034,26.4,60,26.4,22,33.0
0.027,26.4,32,26.4,17,28.0
0.029,26.4,76,26.4,15.7,24.0
0.035,27.2,78,27.2,10.2,26.0
0.023,31.2,41,31.2,14.6,24.0
0.019,34.4,48,34.4,14.5,24.0
0.037,54,76,54,47,62.0
0.015,23,37,23,16.9,29.0
0.01,24,44,24,17.2,28.0
0.014,17,36,17,25,39.0
0.025,14,80,14,13,26.0
0.049,19,64,19,24,35.0
0.042,18,80,18,21,26.0
0.027,34,76,34,37,31.0
0.038,41,41,41,49,62.0
0.033,14,82,14,14,18.0
0.04,14,62,14,14,32.0
0.039,23,45,23,24,35.0
0.025,24,68,24,23,16.0
0.034,40,71,40,41,53.0
0.03,18,80,18,17,34.0
0.016,16,42,16,18,31.0
0.043,28,48,28,31,49.0
0.028,23,80,23,24,35.0
0.033,24,38,24,24,36.0
0.041,18,54,18,15.6,25.0
0.038,19,41,19,23,10.0
0.033,20,45,20,15,33.0
0.05,21,63,21,24,39.0
0.021,22,63,22,24,43.0
0.025,23,39,23,28,57.0
0.035,24,57,24,20,38.0
0.012,25,50,25,27,9.0
0.036,26,49,26,26,10.0
0.027,27,82,27,19,37.0
0.02,28,42,28,12,37.0
0.044,29,60,29,11,33.0
0.045,30,53,30,35,50.0
0.036,31,74,31,45,62.0
0.034,32,62,32,12,19.0
0.041,33,44,33,13,16.0
0.037,34,74,34,28,55.0
0.049,35,54,35,34,67.0
0.037,36,42,36,22,23.0
0.038,13,57,13,14,35.0
0.033,30,54,30,35,58.0
0.041,17,39,17,14,22.0
0.017,12,38,12,16,35.0
0.042,21,51,21,24,35.0
0.049,20,72,20,24,40.0
0.011,22,44,22,22,33.0
0.029,19,68,19,20,22.0
0.045,17,74,17,18,21.0
0.04,38,60,38,39,59.0
0.038,40,33,40,40,36.0
0.041,38,80,38,42,61.0
0.042,12,34,12,11,17.0
0.036,24,36,24,24,41.0
0.026,21,75,21,22,26.0
0.032,19,72,19,23,31.0
0.039,19,36,19,24,35.0
0.049,12,60,12,13,26.0
0.021,13,40,13,14,21.0
0.015,28,61,28,31,43.0
0.031,21,36,21,24,12.0
0.033,34,62,34,38,18.0
0.042,40,42,40,41,52.0
0.033,41,63,41,44,61.0
0.047,42,40,42,52,21.0
0.029,16,52,16,18,30.0
0.023,18,38,18,20,27.0
0.032,19,76,19,21,29.0
0.013,21,67,21,24,35.0
0.035,20,68,20,23,42.0
0.03,21,57,21,24,48.0
0.028,27,44,27,28,23.0
0.039,16,37,16,17,32.0
0.035,15,76,15,16,33.0
0.032,31,75,31,36,51.0
0.035,40,61,40,46,61.0
0.033,45,64,45,48,61.0
0.045,30,82,30,32,52.0
0.037,17,66,17,19,33.0
0.03,15,60,15,14,20.0
0.048,16,83,16,24,35.0
0.033,17,36,17,26,39.0
0.019,12,34,12,14,14.0
0.04,19,71,19,24,47.0
0.012,20,60,20,21,64.0
0.038,14,80,14,25,33.0
0.042,12,68,12,15,34.0
0.037,40,61,40,43,62.0
0.033,12,38,12,16,31.0
0.031,17,51,17,24,41.0
0.028,16,18,16,24,39.0
0.039,12,38,12,15,26.0
0.043,12,74,12,24,35.0
0.028,12,75,12,14,26.0
0.045,15,44,15,23,49.0
0.033,12.8,42,12.8,22,36.0
0.04,12.8,32,12.8,13,36.0
0.036,12.8,75,12.8,51,14.0
0.029,12.8,57,12.8,22,33.0
0.036,13.6,50,13.6,24,35.0
0.036,13.6,43,13.6,24,35.0
0.035,13.6,68,13.6,24,35.0
0.024,13.6,42,13.6,17,25.0
0.035,14.4,39,14.4,19,37.0
0.034,14.4,67,14.4,29,46.0
0.014,14.4,53,14.4,24,35.0
0.04,14.4,40,14.4,24,35.0
0.031,14.4,49,14.4,21,41.0
0.039,14.4,40,14.4,25,47.0
0.043,14.4,41,14.4,24,45.0
0.024,14.4,38,14.4,14.7,24.0
0.038,15.2,38,15.2,18,29.0
0.028,15.2,83,15.2,23,36.0
0.051,16,52,16,15.6,25.0
0.054,17.6,41,17.6,32,42.0
0.031,17.6,46,17.6,30,54.0
0.022,17.6,57,17.6,14.1,24.0
0.033,18.4,55,18.4,55,64.0
0.042,19.2,35,19.2,17,66.0
0.03,19.2,38,19.2,25,45.0
0.05,19.2,50,19.2,14.4,24.0
0.053,20,74,20,30,54.0
0.046,20,35,20,23,39.0
0.01,24,41,24,17.1,27.0
0.02,25.6,46,25.6,15,29.0
0.034,26.4,60,26.4,22,33.0
0.027,26.4,32,26.4,17,28.0
0.029,26.4,76,26.4,15.7,24.0
0.035,27.2,78,27.2,10.2,26.0
0.023,31.2,41,31.2,14.6,24.0
0.019,34.4,48,34.4,14.5,24.0
0.037,54,76,54,47,62.0
0.015,23,37,23,16.9,29.0
0.01,24,44,24,17.2,28.0
0.014,17,36,17,25,39.0
0.025,14,80,14,13,26.0
0.049,19,64,19,24,35.0
0.042,18,80,18,21,26.0
0.027,34,76,34,37,31.0
0.038,41,41,41,49,62.0
0.033,14,82,14,14,18.0
0.04,14,62,14,14,32.0
0.039,23,45,23,24,35.0
0.025,24,68,24,23,16.0
0.034,40,71,40,41,53.0
0.03,18,80,18,17,34.0
0.016,16,42,16,18,31.0
0.043,28,48,28,31,49.0
0.028,23,80,23,24,35.0
0.033,24,38,24,24,36.0
0.041,18,54,18,15.6,25.0
0.038,19,41,19,23,10.0
0.033,20,45,20,15,33.0
0.05,21,63,21,24,39.0
0.021,22,63,22,24,43.0
0.025,23,39,23,28,57.0
0.035,24,57,24,20,38.0
0.012,25,50,25,27,9.0
0.036,26,49,26,26,10.0
0.027,27,82,27,19,37.0
0.02,28,42,28,12,37.0
0.044,29,60,29,11,33.0
0.045,30,53,30,35,50.0
0.036,31,74,31,45,62.0
0.034,32,62,32,12,19.0
0.041,33,44,33,13,16.0
0.037,34,74,34,28,55.0
0.049,35,54,35,34,67.0
0.037,36,42,36,22,23.0
0.038,13,57,13,14,35.0
0.033,30,54,30,35,58.0
0.041,17,39,17,14,22.0
0.017,12,38,12,16,35.0
0.042,21,51,21,24,35.0
0.049,20,72,20,24,40.0
0.011,22,44,22,22,33.0
0.029,19,68,19,20,22.0
0.045,17,74,17,18,21.0
0.04,38,60,38,39,59.0
0.038,40,33,40,40,36.0
0.041,38,80,38,42,61.0
0.042,12,34,12,11,17.0
0.036,24,36,24,24,41.0
0.026,21,75,21,22,26.0
0.032,19,72,19,23,31.0
0.039,19,36,19,24,35.0
0.049,12,60,12,13,26.0
0.021,13,40,13,14,21.0
0.015,28,61,28,31,43.0
0.031,21,36,21,24,12.0
0.033,34,62,34,38,18.0
0.042,40,42,40,41,52.0
0.033,41,63,41,44,61.0
0.047,42,40,42,52,21.0
0.029,16,52,16,18,30.0
0.023,18,38,18,20,27.0
0.032,19,76,19,21,29.0
0.013,21,67,21,24,35.0
0.035,20,68,20,23,42.0
0.03,21,57,21,24,48.0
0.028,27,44,27,28,23.0
0.039,16,37,16,17,32.0
0.035,15,76,15,16,33.0
0.032,31,75,31,36,51.0
0.035,40,61,40,46,61.0
0.033,45,64,45,48,61.0
0.045,30,82,30,32,52.0
0.037,17,66,17,19,33.0
0.03,15,60,15,14,20.0
0.048,16,83,16,24,35.0
0.033,17,36,17,26,39.0
0.019,12,34,12,14,14.0
0.04,19,71,19,24,47.0
0.012,20,60,20,21,64.0
0.038,14,80,14,25,33.0
0.042,12,68,12,15,34.0
0.037,40,61,40,43,62.0
0.033,12,38,12,16,31.0
0.031,17,51,17,24,41.0
0.028,16,18,16,24,39.0
0.039,12,38,12,15,26.0
0.043,12,74,12,24,35.0
0.028,12,75,12,14,26.0
0.045,15,44,15,23,49.0
0.033,12.8,42,12.8,22,36.0
0.04,12.8,32,12.8,13,36.0
0.036,12.8,75,12.8,51,14.0
0.029,12.8,57,12.8,22,33.0
0.036,13.6,50,13.6,24,35.0
0.036,13.6,43,13.6,24,35.0
0.035,13.6,68,13.6,24,35.0
0.024,13.6,42,13.6,17,25.0
0.035,14.4,39,14.4,19,37.0
0.034,14.4,67,14.4,29,46.0
0.014,14.4,53,14.4,24,35.0
0.04,14.4,40,14.4,24,35.0
0.031,14.4,49,14.4,21,41.0
0.039,14.4,40,14.4,25,47.0
0.043,14.4,41,14.4,24,45.0
0.024,14.4,38,14.4,14.7,24.0
0.038,15.2,38,15.2,18,29.0
0.028,15.2,83,15.2,23,36.0
0.051,16,52,16,15.6,25.0
0.054,17.6,41,17.6,32,42.0
0.031,17.6,46,17.6,30,54.0
0.022,17.6,57,17.6,14.1,24.0
0.033,18.4,55,18.4,55,64.0
0.042,19.2,35,19.2,17,66.0
0.03,19.2,38,19.2,25,45.0
0.05,19.2,50,19.2,14.4,24.0
0.053,20,74,20,30,54.0
0.046,20,35,20,23,39.0
0.01,24,41,24,17.1,27.0
0.02,25.6,46,25.6,15,29.0
0.034,26.4,60,26.4,22,33.0
0.027,26.4,32,26.4,17,28.0
0.029,26.4,76,26.4,15.7,24.0
0.035,27.2,78,27.2,10.2,26.0
0.023,31.2,41,31.2,14.6,24.0
0.019,34.4,48,34.4,14.5,24.0
0.037,54,76,54,47,62.0
0.015,23,37,23,16.9,29.0
0.01,24,44,24,17.2,28.0
